archivo,x1,y1,x2,y2,clase
IMG_20250302_124849_box4_50.jpg,0,0,42,26,2
IMG_20250302_124849_box4_51.jpg,0,0,41,28,6
IMG_20250302_124849_box4_52.jpg,2,0,31,23,2
IMG_20250302_124849_box4_52.jpg,34,0,54,23,1
IMG_20250302_124849_box4_53.jpg,4,1,26,27,1
IMG_20250302_124849_box4_53.jpg,29,1,51,28,8
IMG_20250302_124849_box4_54.jpg,21,14,35,26,","
IMG_20250302_124849_box4_54.jpg,2,2,27,23,7
IMG_20250302_124849_box4_54.jpg,33,2,57,23,5
IMG_20250302_124849_box4_54.jpg,50,3,73,23,0
IMG_20250302_124849_box4_55.jpg,0,0,35,30,8
IMG_20250302_124849_box4_56.jpg,0,0,38,27,3
IMG_20250302_124849_box4_57.jpg,0,0,45,27,6
IMG_20250302_124849_box4_58.jpg,5,3,27,26,1
IMG_20250302_124849_box4_58.jpg,23,5,52,27,0
IMG_20250302_124849_box4_59.jpg,0,0,41,29,8
IMG_20250302_124849_box4_60.jpg,0,0,43,29,7
IMG_20250302_124849_box4_61.jpg,0,0,34,30,8
IMG_20250302_124849_box4_62.jpg,0,0,36,28,6
IMG_20250302_124849_box4_63.jpg,6,5,30,27,3
IMG_20250302_124849_box4_63.jpg,30,1,50,26,6
IMG_20250302_124849_box4_64.jpg,6,2,27,27,8
IMG_20250302_124849_box4_64.jpg,39,20,52,29,","
IMG_20250302_124849_box4_64.jpg,25,3,43,27,2
IMG_20250302_124849_box4_64.jpg,50,4,69,25,5
IMG_20250302_124849_box4_64.jpg,65,7,83,28,1
IMG_20250302_124849_box4_65.jpg,3,1,28,26,7
IMG_20250302_124849_box4_65.jpg,28,3,50,27,5
IMG_20250302_124849_box4_66.jpg,0,0,41,27,7
IMG_20250302_124849_box4_67.jpg,0,0,38,27,6
IMG_20250302_124849_box4_68.jpg,2,2,27,26,1
IMG_20250302_124849_box4_68.jpg,30,1,55,26,2
IMG_20250302_124955_box4_50.jpg,0,0,53,24,2
IMG_20250302_124955_box4_51.jpg,0,0,48,29,6
IMG_20250302_124955_box4_52.jpg,3,3,32,25,2
IMG_20250302_124955_box4_52.jpg,35,1,55,25,1
IMG_20250302_124955_box4_53.jpg,9,1,32,27,1
IMG_20250302_124955_box4_53.jpg,31,2,53,27,8
IMG_20250302_124955_box4_54.jpg,3,3,24,25,7
IMG_20250302_124955_box4_54.jpg,22,17,35,28,","
IMG_20250302_124955_box4_54.jpg,36,3,54,24,5
IMG_20250302_124955_box4_54.jpg,54,6,76,26,5
IMG_20250302_124955_box4_55.jpg,0,0,40,26,8
IMG_20250302_124955_box4_56.jpg,0,0,43,28,3
IMG_20250302_124955_box4_57.jpg,0,0,39,29,6
IMG_20250302_124955_box4_58.jpg,5,3,27,27,1
IMG_20250302_124955_box4_58.jpg,25,5,49,31,0
IMG_20250302_124955_box4_59.jpg,0,0,40,30,8
IMG_20250302_124955_box4_60.jpg,0,0,49,29,7
IMG_20250302_124955_box4_61.jpg,0,0,41,30,8
IMG_20250302_124955_box4_62.jpg,0,0,40,27,6
IMG_20250302_124955_box4_63.jpg,3,2,26,26,3
IMG_20250302_124955_box4_63.jpg,27,1,49,25,6
IMG_20250302_124955_box4_64.jpg,4,1,26,25,8
IMG_20250302_124955_box4_64.jpg,40,19,49,27,","
IMG_20250302_124955_box4_64.jpg,26,0,42,26,2
IMG_20250302_124955_box4_64.jpg,48,0,66,25,5
IMG_20250302_124955_box4_64.jpg,63,4,82,27,0
IMG_20250302_124955_box4_65.jpg,3,0,27,27,7
IMG_20250302_124955_box4_65.jpg,29,1,49,26,5
IMG_20250302_124955_box4_66.jpg,0,0,45,28,7
IMG_20250302_124955_box4_67.jpg,0,0,41,29,6
IMG_20250302_124955_box4_68.jpg,0,2,22,27,1
IMG_20250302_124955_box4_68.jpg,24,0,50,28,2
IMG_20250302_125220_box4_50.jpg,0,0,47,30,2
IMG_20250302_125220_box4_51.jpg,0,0,51,28,6
IMG_20250302_125220_box4_52.jpg,4,1,32,24,2
IMG_20250302_125220_box4_52.jpg,32,1,54,24,1
IMG_20250302_125220_box4_53.jpg,8,0,36,22,1
IMG_20250302_125220_box4_53.jpg,35,1,59,23,8
IMG_20250302_125220_box4_54.jpg,22,15,34,25,","
IMG_20250302_125220_box4_54.jpg,5,1,24,24,7
IMG_20250302_125220_box4_54.jpg,32,2,54,24,5
IMG_20250302_125220_box4_54.jpg,51,5,76,25,0
IMG_20250302_125220_box4_55.jpg,0,0,45,28,8
IMG_20250302_125220_box4_56.jpg,0,0,43,27,3
IMG_20250302_125220_box4_57.jpg,0,0,45,25,6
IMG_20250302_125220_box4_58.jpg,3,2,25,27,1
IMG_20250302_125220_box4_58.jpg,23,6,48,27,0
IMG_20250302_125220_box4_59.jpg,0,0,48,26,8
IMG_20250302_125220_box4_60.jpg,0,0,51,28,7
IMG_20250302_125220_box4_61.jpg,0,0,45,27,8
IMG_20250302_125220_box4_62.jpg,0,0,45,26,6
IMG_20250302_125220_box4_62.jpg,0,0,45,26,6
IMG_20250302_125220_box4_63.jpg,6,3,30,26,3
IMG_20250302_125220_box4_63.jpg,32,4,54,26,6
IMG_20250302_125220_box4_64.jpg,4,3,25,28,8
IMG_20250302_125220_box4_64.jpg,40,20,48,29,","
IMG_20250302_125220_box4_64.jpg,25,5,39,29,2
IMG_20250302_125220_box4_64.jpg,25,5,39,29,2
IMG_20250302_125220_box4_64.jpg,49,3,65,28,5
IMG_20250302_125220_box4_64.jpg,49,3,65,28,5
IMG_20250302_125220_box4_64.jpg,62,9,78,30,0
IMG_20250302_125220_box4_64.jpg,62,9,78,30,0
