archivo,x1,y1,x2,y2,clase
IMG_20250302_124849_box4.jpg,11,8,93,34,cantidad
IMG_20250302_124849_box4.jpg,10,38,80,63,cantidad
IMG_20250302_124849_box4.jpg,14,67,82,90,cantidad
IMG_20250302_124849_box4.jpg,16,94,76,118,cantidad
IMG_20250302_124849_box4.jpg,12,121,94,146,cantidad
IMG_20250302_124849_box4.jpg,11,151,97,177,cantidad
IMG_20250302_124849_box4.jpg,11,178,98,207,cantidad
IMG_20250302_124849_box4.jpg,13,203,77,231,cantidad
IMG_20250302_124849_box4.jpg,9,232,82,258,cantidad
IMG_20250302_124849_box4.jpg,12,259,93,285,cantidad
IMG_20250302_124849_box4.jpg,8,287,95,314,cantidad
IMG_20250302_124849_box4.jpg,9,313,93,337,cantidad
IMG_20250302_124849_box4.jpg,12,341,91,364,cantidad
IMG_20250302_124849_box4.jpg,12,369,69,394,cantidad
IMG_20250302_124849_box4.jpg,7,396,85,419,cantidad
IMG_20250302_124849_box4.jpg,8,422,81,448,cantidad
IMG_20250302_124849_box4.jpg,7,449,66,474,cantidad
IMG_20250302_124849_box4.jpg,9,477,85,498,cantidad
IMG_20250302_124849_box4.jpg,7,505,89,531,cantidad
IMG_20250302_124849_box4.jpg,117,10,199,42,detalle
IMG_20250302_124849_box4.jpg,106,39,454,68,detalle
IMG_20250302_124849_box4.jpg,110,65,305,96,detalle
IMG_20250302_124849_box4.jpg,111,94,287,133,detalle
IMG_20250302_124849_box4.jpg,111,120,222,151,detalle
IMG_20250302_124849_box4.jpg,108,148,453,179,detalle
IMG_20250302_124849_box4.jpg,110,176,223,205,detalle
IMG_20250302_124849_box4.jpg,112,202,210,233,detalle
IMG_20250302_124849_box4.jpg,107,229,450,263,detalle
IMG_20250302_124849_box4.jpg,111,259,453,286,detalle
IMG_20250302_124849_box4.jpg,113,285,450,315,detalle
IMG_20250302_124849_box4.jpg,110,311,450,346,detalle
IMG_20250302_124849_box4.jpg,102,338,223,367,detalle
IMG_20250302_124849_box4.jpg,104,367,348,398,detalle
IMG_20250302_124849_box4.jpg,107,395,372,430,detalle
IMG_20250302_124849_box4.jpg,110,424,339,456,detalle
IMG_20250302_124849_box4.jpg,112,451,453,481,detalle
IMG_20250302_124849_box4.jpg,105,478,445,507,detalle
IMG_20250302_124849_box4.jpg,108,502,331,533,detalle
IMG_20250302_124849_box4.jpg,467,67,512,92,preciou
IMG_20250302_124849_box4.jpg,466,94,506,121,preciou
IMG_20250302_124849_box4.jpg,458,123,510,149,preciou
IMG_20250302_124849_box4.jpg,458,175,513,202,preciou
IMG_20250302_124849_box4.jpg,468,203,508,228,preciou
IMG_20250302_124849_box4.jpg,470,283,511,313,preciou
IMG_20250302_124849_box4.jpg,473,314,512,339,preciou
IMG_20250302_124849_box4.jpg,462,339,514,366,preciou
IMG_20250302_124849_box4.jpg,458,366,515,392,preciou
