archivo,x1,y1,x2,y2,clase
IMG_20250302_124849_box4_19.jpg,7,0,76,31,palabra
IMG_20250302_124849_box4_20.jpg,4,0,103,27,palabra
IMG_20250302_124849_box4_20.jpg,264,3,333,25,numero
IMG_20250302_124849_box4_21.jpg,4,0,91,29,palabra
IMG_20250302_124849_box4_21.jpg,96,2,187,30,palabra
IMG_20250302_124849_box4_22.jpg,1,2,94,29,palabra
IMG_20250302_124849_box4_22.jpg,104,0,171,38,palabra
IMG_20250302_124849_box4_23.jpg,4,1,108,30,palabra
IMG_20250302_124849_box4_24.jpg,6,0,130,25,palabra
IMG_20250302_124849_box4_24.jpg,304,1,342,29,palabra
IMG_20250302_124849_box4_24.jpg,279,2,302,27,numero
IMG_20250302_124849_box4_25.jpg,6,2,118,28,palabra
IMG_20250302_124849_box4_26.jpg,6,0,84,28,palabra
IMG_20250302_124849_box4_27.jpg,8,1,138,33,palabra
IMG_20250302_124849_box4_27.jpg,269,3,336,34,numero
IMG_20250302_124849_box4_28.jpg,6,0,83,23,palabra
IMG_20250302_124849_box4_28.jpg,96,0,177,24,palabra
IMG_20250302_124849_box4_28.jpg,301,0,334,24,palabra
IMG_20250302_124849_box4_28.jpg,276,1,302,26,numero
IMG_20250302_124849_box4_29.jpg,3,1,87,29,palabra
IMG_20250302_124849_box4_29.jpg,94,0,173,29,palabra
IMG_20250302_124849_box4_29.jpg,281,3,330,29,palabra
IMG_20250302_124849_box4_29.jpg,260,1,280,26,numero
IMG_20250302_124849_box4_30.jpg,6,0,119,34,palabra
IMG_20250302_124849_box4_30.jpg,128,0,237,33,palabra
IMG_20250302_124849_box4_30.jpg,290,1,336,31,palabra
IMG_20250302_124849_box4_30.jpg,263,2,289,30,numero
IMG_20250302_124849_box4_31.jpg,8,2,109,26,palabra
IMG_20250302_124849_box4_32.jpg,4,0,129,31,palabra
IMG_20250302_124849_box4_32.jpg,136,4,231,31,palabra
IMG_20250302_124849_box4_33.jpg,4,2,93,33,palabra
IMG_20250302_124849_box4_33.jpg,110,0,251,34,palabra
IMG_20250302_124849_box4_34.jpg,7,1,96,30,palabra
IMG_20250302_124849_box4_34.jpg,106,1,212,30,palabra
IMG_20250302_124849_box4_35.jpg,6,2,126,31,palabra
IMG_20250302_124849_box4_35.jpg,293,2,339,26,palabra
IMG_20250302_124849_box4_35.jpg,270,2,292,25,numero
IMG_20250302_124849_box4_36.jpg,13,1,121,27,palabra
IMG_20250302_124849_box4_36.jpg,288,1,337,25,palabra
IMG_20250302_124849_box4_36.jpg,266,1,287,26,numero
IMG_20250302_124849_box4_37.jpg,7,1,125,28,palabra
IMG_20250302_124849_box4_37.jpg,135,0,208,30,palabra
IMG_20250302_124955_box4_19.jpg,4,1,77,33,palabra
IMG_20250302_124955_box4_20.jpg,6,2,101,29,palabra
IMG_20250302_124955_box4_20.jpg,268,2,334,32,numero
IMG_20250302_124955_box4_21.jpg,3,1,92,27,palabra
IMG_20250302_124955_box4_21.jpg,95,0,184,30,palabra
IMG_20250302_124955_box4_22.jpg,5,1,95,32,palabra
IMG_20250302_124955_box4_22.jpg,103,1,174,34,palabra
IMG_20250302_124955_box4_23.jpg,5,0,103,26,palabra
IMG_20250302_124955_box4_24.jpg,5,0,121,26,palabra
IMG_20250302_124955_box4_24.jpg,303,1,342,26,palabra
IMG_20250302_124955_box4_24.jpg,277,0,301,26,numero
IMG_20250302_124955_box4_25.jpg,6,0,118,22,palabra
IMG_20250302_124955_box4_25.jpg,6,0,118,22,palabra
IMG_20250302_124955_box4_26.jpg,4,1,80,26,palabra
IMG_20250302_124955_box4_27.jpg,4,0,138,31,palabra
IMG_20250302_124955_box4_27.jpg,266,2,334,30,numero
IMG_20250302_124955_box4_28.jpg,274,1,300,24,numero
IMG_20250302_124955_box4_28.jpg,3,1,79,25,palabra
IMG_20250302_124955_box4_28.jpg,94,1,175,24,palabra
IMG_20250302_124955_box4_28.jpg,302,2,333,23,palabra
IMG_20250302_124955_box4_29.jpg,5,1,87,23,palabra
IMG_20250302_124955_box4_29.jpg,95,0,182,26,palabra
IMG_20250302_124955_box4_29.jpg,291,1,334,22,palabra
IMG_20250302_124955_box4_29.jpg,263,1,292,22,numero
